word,meaning
copycat,"'copiar, imitar', ""Brandon is a copycat who mimics his older brother's behavior."", ""Thousands of girls copycatted the singer's fashion."""
hospice care,"'care for terminally ill', 'Jimmy Carter to receive hospice care at home.'"
apice,"'each, cada uno', 'The old man gave the twins a pound apiece for washing his car.'"
aground,"'varado, encallado', 'The ship was forced aground by high winds.'"
cunning,"'smart, clever, ingenioso, astuto', 'sly (taimado), deceptive, malicioso, engañoso, artero.'"
soot,'hollín'
ravine,"'steep gorge, barranco, desfiladero, garganta.'"
puny,"'enclenque, flaco, esmirriado', ""The puny little boy couldn't even lift his sister."""
mush,"'masa, papilla.', 'You know the fruit is overripe when the inside has turned to mush.', 'mushy peas'"
lambast,"'attack verbally, arremeter contra', 'My boss lambasted me today for a small error on my report.'"
levy,"'tax, tasa, grvar', 'reclutar'"
hog,"'pig, cerdo', 'glotón, tragón', 'monopolize, acaparar', ""Quithoggingthe computer or I'm going to tell mom what you've been doing online!"", '', 'Hedgehog: erizo.'"
pan,"'sartén', 'criticar, poner a parir, destrozar', 'A poor quality performance will be panned by the critics.'"
garter,"'liguero', ""Lauren's garters were making her legs itch."""
earthy,"'fig, person: down to earth, práctico, objetivo, sencillo,', ""Janice's earthy personality is suited perfectly for a management job."""
croon,"'sing softly, canturrear'"
boon,"'gift, blessing, bendición, beneficio', 'The new regulations are a boon for the oil industry.'"
wellington,"'rubber boots, botas de agua, katiuskas', ''"
trustee,"'fideicomisario, administrador', 'The trustees administered the trust for the children until they came of age.'"
sweatpants,"'tracksuit troussers, pantalón de chándal'"
sheen,"'shine, brillo, lustre', 'The surface of the water had a green sheen.'"
sate,"'satisfy an apetite, saciar', 'Jeremy sated his appetite for sailing by joining the local yacht club.', ''"
rick,"'hayrick, haystack: pajar, almiar'"
pummel,"'aporrear, apalear, beat, pound', 'The gang pummelled him and left him for dead in the street.'"
well up,"'brotar las lágrimas', 'As she began welling up, she added:'"
lug,'To carry or drag something heavy with a lot of effort.'
ken,"'understanding, knowledge', ""Infinity is an idea beyond one's ken."""
heady,"'intoxicating, que se sube a la cabeza, ""cabezón""', 'They drank a rapid succession of strong, heady drinks.', 'fig, exhilarating, excitante, estimulante', 'Having a strong effect on your senses; making you feel excited and confident.'"
grouse,"'urogallo', 'complain, quejarse', 'Stop grousing and get on with the task!', 'Jackson is always grousing about his wife nagging him.'"
harbinger,"'sign of something, presagio, indicador'"
gulp,"'tragar saliva,', 'engullir, tragar', 'To swallow large amounts of food or drink quickly'"
geek,"'technology enthusiast', 'socially unskilled person, bicho raro', '', 'nerd: computer expert, intelligent, unsociable.'"
flounder,"'flat fish, lenguado', 'struggle physically in water, mud, revolverse, luchar, struggle mentally, debatirse.', 'tener problemas, tropezar'"
conservatory,"'sun porch, terraza interior, galería', 'greenhouse, invernadero', 'school of performing arts, conservatorio'"
blurt,"'say on impulse, espetar, soltar abruptamente, largar'"
tinderbox,"'fig: explosive situation, polvorín', 'The controversial new law transformed the city into a tinderbox over night.', '', 'tinder: kindling for fire, yesca', 'Hand me some of that old paper to use as tinder for the fireplace.'"
bequeath,"'property: leave in will, legar', ""The man died poor and didn't have any property to bequeath."""
quilted,"'(padded) acolchado. (quilt: colcha, edredón)', 'The man was wearing a quilted jacket.', 'Wendy snuggled under the quilt, reluctant to leave its warmth on this cold morning.'"
closely knit,"'family: close, unida.', 'We are a very closely knit family.'"
into thin air,"'disappear: suddenly, inexplicably.', 'When I looked back, Jeff had disappeared into thin air.'"
brainteaser,"'puzzle, riddle, acertijo, adivinanza'"
dry run,"'rehearsal, trial, ensayo,', ""Putin's war a dry run for China's ambitions, warns Boris Johnson."""
sash,"'clothing: decorative band, faja, banda, cinto', 'window sash: ventana guillotina.'"
runt,"'smallest animal in a litter', 'The smallest, weakest animal of the young that are born from the same mother at the same time.'"
litter,"'trash in street, basura', 'gravel for pet waste, arena sanitaria', ""I changed the litter in the cat's tray."", 'baby animals, camada, crías, cachorros', 'The dog threw a litter of puppies last month.'"
rummage,"'rebuscar, hurgar en, search using hands', 'He rummaged in the drawer in search of a tin opener.'"
scrape vs scrap,"'scrape: raspar, arañar, rayar (scratch)', '', 'scrap: trozo, resto, sobra, descartar, desechar, abandonar.', '', 'web scraping', 'skyscraper'"
upshot,"'resultado, conclusión, producto.', ""The upshot is grisly forecasts like the one we've just seen from the IFM."""
queasy,"'feeling sick, wanting to vomit, mareado, indispuesto, con náuseas.'"
prowess,"'Destreza, habilidad, pericia, great skill at doing something.', 'Technical prowess is important for securing a job.', 'The professor was known for his prowess as a public speaker.'"
mussel,"'mejillón', ""I'll have the seafood stew with clams and mussels, please."""
minstrel,"'juglar, trovador, medieval travelling performer.'"
loony,"'pirado, chiflado, chalado.', 'Mrs. Garfield is a loony; she has twenty five cats!', ""Don't mind my uncle's comments; he's gone loony in his old age"""
hornet,"'large wasp, avispón', ""There's a nest of hornets next to the garage."""
hag,"'ugly old woman, vieja bruja', ""Don't mind her, that old hag is always shouting at people walking by."""
flimsy,"'endeble, poco sólido', 'That bench is too flimsy to support four people.', ""That flimsy jacket won't be warm enough when the sun goes down."", 'Every day she arrives late with another flimsy excuse.'"
parchment,"'pergamino', 'Material made from the skin of a sheep or goat, used in the past for writing on.', '', 'parch: agostar, secar'"
parch,"'make very dry, agostar, resecar.', '', 'parchment: pergamino'"
drab,"'not colorful, apagado. Verde, marrón oliva.', 'Without interest or colour; dull and boring.'"
debase,"'degrade, demean, degradar, rebajar', ""Don't let anyone debase your sense of dignity."""
arms race,"'carrera, escalada armamentística.', 'The AI arms race.'"
ado,"'fuss', 'Much ado about nothing, mucho ruido pocas nueces.', 'Without further ado: sin más demora, sin más preámbulos.', 'And now, without further ado, the results!'"
snort,"'resoplar, bufar', ""Don't snort into your milkshake."""
contraption,"'aparato, artilugio', 'The inventor created a contraption that scrambled eggs and fried bacon.'"
bubblegum,'chewing gum that makes bubbles.'
bootleg,"'sth made illegally, de contrabando, alijo', 'Bootlegs of the movie are widely available on the Internet.'"
awry,"'wrong, amiss, mal', 'The detective immediately knew that something was awry.', 'skewed, torcido, ladeado', 'His wig was slightly awry, which spoiled the effect.'"
tenement,"'us, run-down appartment building.', 'He grew up in a tenement in the poorer part of town.', ""It was great being brought up in a Glasgow working-classtenement. It wasn't miserable, and it wasn't poverty stricken (golpeado, afectado). It felt very safe, full of delights."""
shrewd,"'clever, practical, astuto, inteligente', 'Harriet is a shrewd businesswoman.'"
secluded,"'apartado, recóndito, aislado, solitario', 'Daisy enjoys spending weekends at her secluded cottage.', 'Jack leads a secluded life; he hardly ever sees other people.'"
retainer,"'advance fee, anticipo', 'George paid the lawyer a retainer to secure her services for his court case.'"
rapport,"'A friendly relationship in which people understand each other very well.', 'Steve and Harry get on well; they have a rapport.', 'Carlo Ancelotti has a strongrapportwith Real Madrid playmaker James Rodriguez.'"
chime,"'repicar', 'chime in: enter discussion, cantar, meter baza.', 'After posting it in social networks, several others chimed in over the crater-ridden road.'"
natty,"'stylish, arreglado, acicalado,Neat and fashionable.'"
muffler,"'scarf, to keep neck warm, old fashioned?'"
lifeblood,"'alma, savia, source of life, energy.', 'Agriculture is the lifeblood of that country.'"
ledger,"'accounting book, libro de contabilidad'"
husk,"'cáscara, cascarilla'"
bravado,"'bravuconada, false show of courage, fanfarronada', '""I\'m not scared,"" insisted Gavin, making a show of bravado in front of his friends.'"
beseech,"'plead, beg, suplicar, rogar', 'The thief beseeched the king to spare him execution.'"
amiss,"'incorrect, wrong', ""You know something's amiss when Cathy hasn't posted a selfie for three days."""
fixed penalty notice,"'Rishi Sunak has been issued a fixed penalty notice for not wearing the seatbelt.', '', 'In theUnited Kingdom, afixed penalty notice(FPN) is a notice giving an individual the opportunity to be made immune from prosecution for an alleged criminal offence in exchange for a fee.1Fixed penalty notices were introduced in Britain in the 1980s to deal with minorparking offences. Originally used by police and traffic wardens, their use has extended to other public officials and authorities, as has the range of offences for which they can be used.'"
vet,"'veterinarian, veteran', 'Review and approve', 'Recruiters use Linkedin to vet job candidates.'"
zealot,"'fanatic', 'Some zealots protested against the film for religious reasons'"
whammy,"'golpe severo, contratiempo, revés', 'It was certainly a whammy when Pete said that he was quitting the band.', '', 'double whammy: twofold misfortune. Doble revés, doble palo.', '', 'wham: heavy blow, golpetazo.'"
unwritten,"'not stated, understood, tácito', 'We have an unwritten agreement to avoid painful subjects.'"
stooge,"'secuaz, títere', 'A person who is used by somebody to do things that are unpleasant or dishonest.', '', 'A performer in a show whose role is to appear silly so that the other performers can make jokes about him or her.'"
trite,"'clichéd, unoriginal, trillado, trivial, manido'"
snarl,'To show the teeth and make a deep angry noise in the throat.'
roster,"'lista\xa0 de asignaciones en programa,A list showing the tasks that different people have to do at different times within an organization.', 'A duty roster.'"
roost,"""birds' perching place, nido"", 'bird: settle, rest, posarse', 'fig, settle down, asentarse, sentar cabeza', '""come home to roost"" al final todo vuelve', ""The company's financial problems came home to roost and it nearly went bankrupt."", '""rule the roost""be in charge of a household, llevar los pantalones.'"
rook,"'grajo', 'torre (chess piece: castle)', 'swindler: estafador'"
recoil,"'recular, retroceder'"
patty,"'medallón,Finely chopped meat, fish, etc. formed into a small round flat shape.'"
onset,"'the beginning of sth, especially sth unpleasant.', ""The onset of Jack's illness was sudden. The weather gets colder at the onset of winter."""
hideout,"'place to hide, escondite', ""The criminal's hideout was eventually discovered by police dogs."""
hearsay,"'rumour, gossip, habladuría, chisme', 'de oídas, por referencia', 'Things that you have heard from another person but do not (definitely) know to be true.'"
gag,"'chiste, broma', 'mordaza', 'AI is like an ungagging: we can communicate with computers with examples.'"
grisly,"'scene: horrible. Horripilante, espeluznante, macabro, siniestro'"
frantically,'frenéticamente'
loin,"'lomo', 'The stew contained pork loin and a lot of potatoes.'"
dredge,"'riverbed: clear, dig up, dragar'"
downpour,"'heavy rainfall, aguacero, chaparrón, chubasco.'"
daunt,"'intimidar, atemorizar', ""Don't bedaunted. Just do your job.Continue to show up for your piece of it, whatever that might be"""
hyphen,"'hyphen, dash -', 'underscore _', 'slash /', 'colon :', 'semicolon ;'"
coarse,"'rough, áspero, grueso, rudo, grosero, chabacano', 'That kind ofcoarselanguage is not appropriate in front of your mother.'"
zing,"'liveliness, energy, chispa'"
fateful,"'bringing disaster or death, catastrófico, funesto, fatídico', 'She had a fateful marriage to Nicholas Cage.'"
cartwheel,"'sideways gymnastic move, pirueta, voltereta lateral'"
wafer,"'thin biscuit, oblea, barquillo', 'For dessert, Helen put some ice cream in bowls and topped each one with awafer.', 'hostia', ""The priest placed thewaferon Sean's tongue."", 'solar wafer:cell that converts sunlight into energy.'"
stillborn,"'baby: dead at birth', 'The mother held thestillbornbaby in her arms and wept.'"
tinker,"'tinker with: juguetear con algo', 'You cantinkerwith the slope and intercept to get the linear regression model.', '', 'tinker: hojalatero.'"
recluse,"'loner, hermit, solitario, ermitaño', ""The novelist was areclusewho hadn't left his house in months."""
quirk,"'unique characteristic, peculiaridad, singularidad, particularidad', 'eccentric characteristic, rareza, excentricidad'"
skewer,"'pincho, brocheta', 'The women put cubes of meat and vegetables onskewersfor the barbecue.', 'The chefskeweredthe pork medallions and put them on the grill.'"
mason,"'A person who builds using stone, or works with stone.'"
lunge,"'jump forward, arremeter, embestir, lanzarse.', 'The muggerlungedat Heather and stole her purse.'"
off-the-wall,"'unusual, bizarre, raro, extraño', 'There are some off-the-wall claims'"
light heart,"'carefree mood, actitud despreocupada', 'I set off on my journey with a light heart.'"
lagoon,"'salt pond, laguna costera, albufera'"
kink,"'A bend or twist in sth that is usually straight. Retorcedura, vuelta.', ""The garden hose didn't spray much water because it had akinkin it."", 'manía, vicio, strange habit or characteristic', 'kinky: pervertido', ''"
innards,"'internal organs, tripas, entrañas', 'The cook slit the rabbit open and removed itsinnards.'"
fallout,"'efectos secundarios, colaterales', '', ""We're still dealing with the fallout from her sudden resignation."", 'fall out: (friends) quarrel, discutir, reñir'"
hobble,"'walk with a limp, cojear, renquear', 'To walk with difficulty, especially because your feet or legs hurt.'"
handler,"'animal trainer, adiestrador, domador', ""The lion'shandlersaid that he had never been bitten or scratched."""
icicle,"'hanging ice, carámbano, témpano', 'When you walk close to the buildings, beware of theicicles.'"
bland,"'insípido, soso, aburrido, insulso, anodino', 'Rebecca said the food at that restaurant is bland.'"
phishing,'internet fraud'
whittle,"'carve wood, tallar madera.', 'Ron showed me how towhittlea twig into a whistle.'"
vouch,"vouch for: ''responder por, poner las manos en el fuego por, dar fe de', 'Harryvouchedfor Dan by lending him some money when he had a lot of debts.', 'I canvouchfor his honesty; I even trust him with the keys to my own house.', '', 'voucher: vale, cupón (token,\xa0 coupon)', 'There was avoucherin the local paper to get two meals for the price of one at the new French restaurant.'"
transfix,"'mesmerize, fascinate, rivet, paralizar, cautivar, subyugar', 'The dancing flamestransfixedthe onlookers.'"
industrial action,"'huelga. Strike, walkout'"
shorthand,"'taquigrafía,A quick way of writing using special signs or abbreviations, used especially to record what somebody is saying.'"
saucy,"'pícaro, travieso. Referring to sex in a way that is amusing but not offensive.', 'Saucy jokes, a soucy smile.'"
good riddance,"'An unkind way of saying that you are pleased that somebody/something has gone.', 'Adiós y hasta nunca. Chau, chau.', 'Metrosexuality is dead. And goodriddanceto it.', ""Goodbye and goodriddance!' she said to him angrily as he left."""
poser,"""wannabe, pretencious person, pretencioso, impostor.He calls himself a writer but he's really just a poser."", ""question, puzzle, pregunta difícil rompecabezas, acertijo.Here's a poser: how did I end up with your car keys?"""
mirth,"'alegría, júbilo, risa', 'The performance produced muchmirthamong the audience.'"
kilt,'falda escocesa'
khaki,"'color terroso', 'persimmon(fruta caqui).'"
jenny,'female donkey or ass (asno).'
headlong,"'de cabeza', 'The man jumpedheadlonginto the water.', 'hastily, apresuradamente', 'Peter started the projectheadlong, and suffered consequences for his lack of planning.', 'To jumpheadlonginto some project.'"
hardy,"'person: sturdy, resilient', ""Ian's a veryhardyperson; I think he can go backpacking with no problems."""
loophole,"'law, rule: resquicio, vacío legal', 'These taxloopholesallow companies to operate tax-free.'"
fowl,"'ave de corral (domestic, poultry), de caza (wild, game).', 'Britons urged not to pour festivefowlfat down the sink.'"
embezzle,"'desfalcar, malversar', 'To steal money that you are responsible for or that belongs to your employer.', '', 'He was found guilty ofembezzling$150\u2009000 of public funds.'"
ditty,"'song or rhyme: cancioncilla, cantinela, tonadilla.', 'The man hummed adittysoftly as he raked (rastrillar) leaves.'"
crummy,"'cutre, of very bad quality.', ""I've tried writing on a computer thinking it would make me more efficient, but if you're writingcrummystuff, being efficient is no help."""
croak,"'croar', 'We could hear frogscroakingaround the pond.', 'tb graznar (crow)', '', 'slang: die. Palmar, espichar, cascar.', 'Apparently, no one found the old man for four days after hecroaked.'"
blemish,"'skin: imperfection, flaw.', 'Make-up to coverblemishes.', 'His reputation is without ablemish'"
bender,"'drinking binge, borrachera', ""We have to put a stop to these weekly benders; my liver can't take much more."", '', 'dobladora (tool)', 'fender bender: minor collision, toque', 'It was only a fender bender but the damage was still expensive to repair.'"
alive and kicking,"'vivito y coleando.', 'Ukraine is alive and kicking, Zelenskyy tells US congress.'"
anchovy,"'anchoa, boquerón'"
goad,"'provoque deliberately, provocar, aguijonear, incitar, prompt, spur', 'I wasgoadedinto a response, a mistake from my part.'"
pittance,"'miseria, suma ridícula', 'The underpaid hotel staff worked for a pittance.'"
plight vs blight,"'plight: apuro', 'blight: plaga'"
runner-up,"'competitor: 2nd place. Segundo.', ""Linda won the school's talent contest and her friend Amy was therunner-up."", 'Eurovision: the UK was the runner up this year.', '', 'run-up', 'vísperas: Restaurants make a large part of their annual profit in the run-up to Christmas.', 'time of preparation: In the run-up to the World Cup, football fans all over the world become crazy with excitement.'"
tenet,"'principle, doctrine, dogma', 'Our moraltenetsforbid us to enter into such an arrangement.', 'Thetenetsof the church once allowed bigamy.'"
shrill,"'estridente, agudo', 'I covered my ears to protect them from theshrillsiren.', 'Ashrillvoice.'"
schism,"'cisma', 'The disagreement eventually led to aschismwithin the Church.'"
sally,"'salida, short trip; witty remark, comentario ingenioso, salida.', '', 'quip: short witty remark, salida.'"
perceptive,"'person: insightfull, perspicaz.', ""She's veryperceptiveabout where students need extra help."", 'Yourperceptivecomments helped us improve the report.'"
innermost,"'más íntimo, recóndito', ""I've always shared myinnermostthoughts with him."""
outclass,"'superar, aventajar', 'Gitoutclassesversion control tools like Subversion with features like...'"
flay,"'desollar, despellejar, remove skin from', 'The first step in the recipe is toflaythe fish.', 'To hit or whip somebody very hard so that some of their skin comes off.', 'Toflaysomeone alive.', 'To criticize somebody/yourself severely.'"
enshrine,"'relics in a shrine, consagrar, recoger', 'The relics are enshrined in a small case on the altar.', 'fig: These rights are enshrined in our constitution.'"
contingent,"'contingente', 'group of people:The largestcontingentwas from the United States.', 'Depending on something that may or may not happen.All payments arecontingentupon satisfactory completion dates.'"
broth,"'caldo, thin soup', 'beef broth, chicken broth'"
breakout,"'escape from jail, fuga, evasión', '', ""exitoso,Suddenly extremely popular and successful; establishing somebody's reputation."", 'Her firstbreakouthit came in 2006.', '', 'disease: outbreak, brote, erupción.'"
bloodhound,"'sabueso,A large dog with a very good sense of smell, used to follow or look for people.'"
belittle,"'menospreciar, denigrar, subestimar', 'minimize importance of', 'She felt her husband constantlybelittledher achievements.', '', 'By saying this, I do not mean tobelittlethe importance of his role.'"
woeful,"'situation: unhappy. Lamentable, triste.', ""The country's economic situation iswoeful, with rising unemployment and a high cost of living."""
trinket,"'piece of jewellery, baratija', 'The ornate jewelry box was filled with trinkets and baubles.'"
thud,"'dull sound, golpe seco, ruido sordo', 'Tina dropped the book and it hit the table with athud.'"
sketchy,"'incomplete, not thorough, incompleto, esbozado', 'Our travel details are still rathersketchyat the moment.'"
wolf whistle,"'silbido,call made from man to woman.', 'Street harassment:wolf whistleto be banned in crackdown.', 'Wolf-whistling, catcalling and staring persistently will be criminalised in England under plans backed by Home Secretary Suella Braverman.'"
rump,"'The round area of flesh at the top of the back legs of an animal that has four legs', 'grupa, ancas, cuartos traseros', ""person's buttocks: trasero, nalgas"""
lard,"'grasa, manteca', 'A firm white substance made from the melted fat of pigs that is used in cooking.', 'Sadly, I have a lot oflardaround my belly. (lorzas)'"
heartstrings,"'(fibra sensible) sentiment, emotion'"
grader,"'-grader:When Martha was a second-grader, she played soccer.', '', ""Examinador.A person who marks/grades students' work or exam papers."""
fruition,"'fruto, fulfillment, attainment', 'The successful result of a plan, a process or an activity', 'We will finally see thefruitionof our efforts in the product being launched today.'"
forgo,"'abstain from, do without, privarse de, abstenerse de, renunciar', 'We decided toforgogoing to the party because of the bad weather.'"
crackpot,"'eccentric, crazy, chiflado'"
forage,"'search for food', 'Wild hogsforagenear the hiking trail, so be careful.', 'A squirrel rummaged (hurgar) below the tree,foragingfor nuts.', '', '-> food for cattle: forraje'"
workhorse,"'caballo de tiro, fig: dependable, useful.', 'A Pandas DataFrame is theworkhorseof many Data Scientists in PythonLand.'"
cobbler,"'shoemaker, a person who repairs shoes.', 'I took my shoes to acobblerto have new soles attached.', '', 'fruit pie, tarta, torta de fruta', 'Peachcobbler.', 'For dessert, we had warmcobblerwith ice cream.', '', 'cobble: canto, adoquín'"
breather,"'pause, pausa, descanso', ""Let's take abreatherfor a second."""
creeper,"'creeping plant, planta trepadora, enredadera'"
clump,"'A small group of things very close together, especially trees or plants. A bunch of sth such as grass or hair (mechón).'"
beef up,"'echar músculo, fortalecer', '""In the rest of this course you\'llbeef upyour SQL querying skills"".'"
bugle,"'corneta', 'A musical instrument like a small trumpet, used in the army for giving signals.', 'bugle call: toque de corneta.'"
booby,"'stupid', 'booby trap: trampa escondida', 'booby prize: a prize that is given as a joke to the one last in a competition.'"
dregs,"'posos, sediment of liquid', 'Nothing was left in the wine bottle but thedregs.', 'leftovers, remains', 'Thedregsof our dinner sat in the pot on the stove.'"
waddle,"'walk like a duck', 'The duckwaddledover and began to eat the bread.', ""He's become so fat that he can onlywaddle."""
submissive,"'sumiso', 'She followed him like asubmissivechild.', '', 'He expected his daughters to be meek andsubmissive.'"
spruce,"'pícea (abeto)// arreglarse, acicalarse, asearse // neat, trim: pulcro', 'Isprucedmyself up before I went out.', '', ""I never met a man who was shaken by a field of identical blades of grass. An acre of poppies and a forest ofspruceboggle no one's mind. (Annie Dillard)"""
shawl,"""women's garment, chal, mantón"", 'Betty brought ashawlin case the evening was chilly.'"
saffron,"'azafrán', 'Buddhist monks insaffronrobes.'"
rudder,"'boat/plane steering mechanism, timón', 'The boat builder fitted arudderto the stern (popa) of the boat.', ""A plane'srudderis normally a vertical flap (alerón) on the tail."", 'rudder blade: pala de timón', 'Three stowaways were found perched on the rudder blade on an oil tanker.'"
jumble,"'revoltijo, batiburrillo, lío', 'The secretary was amazed the professor could find anything in thejumbleon his desk.'"
gully,"'zanja, sumidero,A small, narrow channel, usually formed by a stream or by rain.'"
fussy,"'hard to satisfy, meticuloso, quisquilloso', '', 'Our teacher is veryfussyabout punctuation.', ""Where do you want to go for lunch?' ‘I'm notfussy(= I don't mind)."""
fiendish,"'devilish, wicked, diavólico, maligno', 'The evil queen gave afiendishsmile.', 'endemoniado, dificilísimo', ""Ralph couldn't solve thefiendishpuzzle."""
crass,"'insensitive, grosero, craso (indisculpable), vulgar, burdo', ""For those who are used to Trump'scrassbehavior and vile rhetoric."""
bigotry,"'prejudice: againat race, etc.', 'Intolerancia, prejuicio', ""Ellen is nobigot; she's very open-minded."""
coriander,'cilantro'
cheekbone,'pómulo'
boardwalk,"'pasarela entablada, wooden walkway'"
unfathomable,"'insondable, incomprensible'"
cob,"'corncob: mazorca de maíz.', 'The field was littered withcobsand stalks (tallos de plantas).', '', 'caballo percherón', 'Coal wagons were pulled bycobsin the old days.', '', ""cobweb: spider's web, telaraña"", 'Monica cleared the cobweb from the corner with a broom.'"
trepidation,"'dread,Great worry or fear about something unpleasant that may happen, agitación, inquietud.', ""Filled withtrepidation, Julie slowly walked towards her boss's office."""
clique,"'exclusive group, grupito, grupillo', 'The popular girls unexpectedly asked Kate to have lunch with theirclique.'"
clampdown,"'enforcement of a restriction, restringir, tomar medidas drásticas, apretar los tornillos.'"
beleaguered,"'atribulado, acosado, asediado', ""his parliament has adopted in the second reading a bill that further tightens the screws on\xa0Russia'sbeleagueredLGBTQ+ community."""
plump,"'rollizo, regordete,Having a soft, round body; slightly fat', '', 'plump sth: carelessly, with a heavy drop'"
pelt,"'bombard with sth,To attack somebody by throwing things at them', 'The angry crowd began topeltthe police officers with rocks.', 'The childrenpeltedhim with snowballs.', '', 'The skin of an animal, especially with the fur or hair still on it.', '', 'pelt down: rain, fall hard, diluviar, llover a mares, con fuerza', '', 'pelt along: run, correr a toda mecha, a toda pastilla'"
raucous,"'boisterous(bullicioso, ruidoso), loud, estridente, ruidoso, escandaloso', '', 'The 40,000-capacity venue was filled largely byraucousMexico supporters.'"
blistering,"'verbal attack: ferocious.', 'The decision comes days after Ronaldo launched ablistering attackon the club in an interview with Piers Morgan, accusing United of betraying him by forcing him out of the club.', '', 'blistering(heat: fierce) calor abrasador', '', '(blister: ampolla)'"
mystique,"'attractive aura of mistery', 'I am compelled by themystiqueof the woman dressed in black on the train.', 'There is a certainmystiqueabout the tiger.'"
measly,"'informal(meagre), magro, mísero, miserable, insignificante', ""The job paid me ameaslyfifteen dollars for a day's work."", '', 'Very small in size or quantity; not enough.', '', 'I get ameasly£4 an hour.'"
antler,"'horn of deer, etc.', 'Poachers in search ofantlersprey on red deer.', '', 'angler: pescador de caña.'"
booked,"'reservado // amonestadosportsperson: shown a penalty card', 'Thebookedplayer trudged off the field.'"
holster,"'gun holder, pistolera, cartuchera', 'The outlaw (bandido) drew a pistol from hisholsterand pointed it at the sheriff.'"
elevenses,"'UK, informal(mid-morning snack break)', ""I'm hungry - is it time forelevensesyet?"""
goner,"'(slang) doomed individual, estar perdido, estar en las últimas', ""If the emergency brake fails, we'regoners."""
entourage,"'séquito', 'The star and herentouragetook up a whole wing of the hotel.'"
conundrum,"'puzzling situation', 'puzzle, riddle, acertijo, adivinanza.'"
buoy,"'boya // fig: cheer, hearten, animar, alentar', 'Our spirits werebuoyedwhen we heard news of the rescue.', 'boyante:\xa0 que tiene fortuna, felicidad creciente.'"
eleventh-hour,"'at last possible moment, de última hora', 'The heroine carried out aneleventh-hourrescue that was truly dramatic.'"
boggle,'be bewildered or amazed'
allure,"'atractive quality', 'The country has lost itsallureas a destination for foreign investment.'"
valet,'ayuda de cámara / guardarropa / aparcacoches'
trudge,"'walk wearily, caminar fatigosamente', 'The mentrudgedup the hill, laden with supplies.', 'We spent the morningtrudgingaround the mall looking for a suitable gift.'"
slouch,"'body: drooped posture, encorvarse', ""Ann is alwaysslouching; she should stand up straight or she'll get a bad back."", 'To stand, sit or move in a lazy way, often with your shoulders and head bent forward', 'A way of standing or sitting in which your shoulders are not straight, so that you look tired or lazy.'"
portmanteau,'palabra compuesta' (smog)
raze,"'tear down, destroy, demoler, derribar, arrasar', 'To completely destroy a building, town, etc. so that nothing is left.', 'The woodland wasrazedby fire.', 'The city government razed the old buildings to build a park.'"
poignant,"'emotionally moving, conmovedor, emotivo', 'penetrante', ""The film'spoignantending had us all in tears."", ''"
headstrong,"'tozudo, testarudo, cabezota'"
fizz,"""When a liquidfizzes, it produces a lot of bubbles and makes a long sound like an ‘s'"", 'A drink that has a lot of bubbles of gas, especially champagne.'"
deface,"'vandalize, pintarrajear, vandalizar', 'Vandalsdefacedthe side of the building last night.', 'Picturesdefacewalls more often than they decorate them.'"
well-heeled,"'wealthy, adinerado', 'The asking price of €260,000 is enough only for a one-bedroom apartment inwell-heeledareas of Madrid or Barcelona.'"
upkeep,"'maintenance, cost of it', 'I am selling because I am an urban-dweller and cannot maintain theupkeepof the village.'"
phone tag,"'intento fallido de comunicación, unsuccessful contact attempts', 'Plus, if you’re looking for a job, increased connectivity can help reduce the infamous “phone tag” with hiring managers.'"
put sb on the spot,"'poner en un apuro', 'My teacherput me on the spotwith a difficult question.'"
cesspit,"'cesspool, sewage tank, fosa séptica'"
bumble,"'bambolear, inept, incompetent, clumsy, trastabillar, andar a tropezones', 'To act or move in an awkward or confused way.', 'bumblebee: abejorro', ''"
bleachers,"""gradería descubierta (sports: spectators' seats)."", 'Rows of seats at a sports ground that are cheaper and not covered by a roof.'"
basin,"'palangana, fregadero, lavabo (geography: depression) cuenca, place were vessels are docked: dársena'"
mugshot,"'foto policial', 'mug: tazón', 'mug: asaltar, atracar, robar, rob violently'"
august,"'agosto / prestigioso, augusto'"
apprehensive,"'anxious, inquieto, nervioso, preocupado', ""It's natural to feelapprehensivebefore a job interview."""
appetizer,"'aperitivo', 'Some green olives make a simpleappetizer.'"
vagrant,"'homeless, vagabundo', 'A beggarvagrant.'"
tailgate,"'vehicle: board at back', 'conducir pegado al vehículo de delante', 'Hacer picnic en la parte trasera vehículo.'"
suckle,"'dar de mamar', 'The cow patientlysuckledher calf.', 'The mother wassucklingher baby.'"
sickle,"'hoz', 'The hammer andsickleof the Soviet flag.'"
semblance,"'aspecto de, apariencia de', 'The cloud had thesemblanceof a horse.'"
lurid,"'vivid, vistosa / garish, chillón, estridente/ sensacionalista, escabroso', 'It is always worth being a little wary of theluridheadlines.'"
mayhem,"'disorder, chaos, tumulto', 'There wasmayhemat the airport after a suspicious package was found.'"
pigeonhole,"'buzón, casillero', ""Fredrik put a copy of the memo in everyone'spigeonhole."", '', 'palomar', '', 'fig: encasillar, categorize', ""The baseball coachpigeonholedhis pitchers and wouldn't let them play other positions."", 'The mediapigeonholedthe demonstrators as ""communists and anarchists"".', ""I've never liked the publishing world's determination topigeonholeevery writer into a genre."", ''"
outpost,"'military: troops on lookout, avanzadilla'"
broken English,"'badly spoken', 'He spoke inbrokenEnglish that was hard to understand.'"
